src_id,dst_id,label,feat
0,0,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,0
3,13,0,0
3,14,0,0
4,15,0,0
4,16,0,0
4,17,0,0
4,18,0,0
4,19,0,0
5,20,0,0
6,21,0,0
6,22,0,0
6,23,0,0
6,24,0,0
6,25,0,0
7,26,0,0
7,27,0,0
7,28,0,0
7,29,0,0
7,30,0,0
7,31,0,0
8,32,0,0
7,33,0,0
9,34,0,0
10,35,0,0
10,36,0,0
10,37,0,0
10,38,0,0
10,39,0,0
11,40,0,0
11,41,0,0
11,42,0,0
11,43,0,0
12,44,0,0
13,45,0,0
14,46,0,0
14,47,0,0
14,48,0,0
14,49,0,0
14,50,0,0
15,51,0,0
13,52,0,0
13,53,0,0
16,54,0,0
13,55,0,0
13,56,0,0
13,57,0,0
13,58,0,0
13,59,0,0
17,60,0,0
13,61,0,0
18,62,0,0
13,63,0,0
19,64,0,0
13,65,0,0
20,66,0,0
20,67,0,0
13,68,0,0
13,69,0,0
13,70,0,0
13,71,0,0
13,72,0,0
21,73,0,0
22,74,0,0
22,75,0,0
7,76,0,0
7,77,0,0
7,78,0,0
7,79,0,0
7,80,0,0
23,81,0,0
23,82,0,0
24,83,0,0
7,84,0,0
25,85,0,0
25,86,0,0
25,87,0,0
25,88,0,0
26,89,0,0
26,90,0,0
26,91,0,0
26,92,0,0
26,93,0,0
27,94,0,0
27,95,0,0
27,96,0,0
28,97,0,0
28,98,0,0
28,99,0,0
29,100,0,0
29,101,0,0
29,102,0,0
30,103,0,0
30,104,0,0
30,105,0,0
30,106,0,0
30,107,0,0
30,108,0,0
30,109,0,0
13,110,0,0
31,111,0,0
31,112,0,0
31,113,0,0
31,114,0,0
13,115,0,0
32,116,0,0
33,117,0,0
13,118,0,0
13,119,0,0
12,120,0,0
34,121,0,0
13,122,0,0
13,123,0,0
13,124,0,0
13,125,0,0
13,126,0,0
35,127,0,0
36,128,0,0
37,129,0,0
38,130,0,0
38,131,0,0
38,132,0,0
38,133,0,0
39,134,0,0
39,135,0,0
39,136,0,0
39,137,0,0
39,138,0,0
39,139,0,0
40,140,0,0
40,141,0,0
40,142,0,0
40,143,0,0
41,144,0,0
13,145,0,0
13,146,0,0
7,147,0,0
7,148,0,0
7,149,0,0
42,150,0,0
42,151,0,0
42,152,0,0
42,153,0,0
7,154,0,0
7,155,0,0
43,156,0,0
7,157,0,0
13,158,0,0
7,159,0,0
44,160,0,0
7,161,0,0
45,162,0,0
45,163,0,0
45,164,0,0
46,165,0,0
46,166,0,0
46,167,0,0
46,168,0,0
46,169,0,0
46,170,0,0
47,171,0,0
47,172,0,0
47,173,0,0
47,174,0,0
47,175,0,0
48,176,0,0
48,177,0,0
48,178,0,0
48,179,0,0
48,180,0,0
49,181,0,0
49,182,0,0
49,183,0,0
49,184,0,0
49,185,0,0
50,186,0,0
51,187,0,0
7,188,0,0
52,189,0,0
52,190,0,0
52,191,0,0
52,192,0,0
52,193,0,0
52,194,0,0
52,195,0,0
7,196,0,0
53,197,0,0
7,198,0,0
7,199,0,0
7,200,0,0
54,201,0,0
7,202,0,0
55,203,0,0
13,204,0,0
56,205,0,0
56,206,0,0
56,207,0,0
13,208,0,0
57,209,0,0
13,210,0,0
58,211,0,0
59,212,0,0
59,213,0,0
59,214,0,0
59,215,0,0
60,216,0,0
60,217,0,0
60,218,0,0
60,219,0,0
60,220,0,0
13,221,0,0
13,222,0,0
13,223,0,0
13,224,0,0
61,225,0,0
13,226,0,0
62,227,0,0
62,228,0,0
62,229,0,0
62,230,0,0
63,231,0,0
13,232,0,0
64,233,0,0
65,234,0,0
66,235,0,0
67,236,0,0
13,237,0,0
13,238,0,0
68,239,0,0
69,240,0,0
70,241,0,0
71,242,0,0
72,243,0,0
72,244,0,0
72,245,0,0
72,246,0,0
7,247,0,0
7,248,0,0
35,249,0,0
73,250,0,0
73,251,0,0
73,252,0,0
73,253,0,0
73,254,0,0
74,255,0,0
7,256,0,0
75,257,0,0
76,258,0,0
76,259,0,0
76,260,0,0
77,261,0,0
77,262,0,0
77,263,0,0
77,264,0,0
78,265,0,0
13,266,0,0
13,267,0,0
79,268,0,0
13,269,0,0
13,270,0,0
13,271,0,0
13,272,0,0
80,273,0,0
80,274,0,0
80,275,0,0
80,276,0,0
80,277,0,0
81,278,0,0
81,279,0,0
81,280,0,0
81,281,0,0
82,282,0,0
13,283,0,0
13,284,0,0
83,285,0,0
13,286,0,0
13,287,0,0
13,288,0,0
13,289,0,0
13,290,0,0
84,291,0,0
85,292,0,0
86,293,0,0
86,294,0,0
13,295,0,0
13,296,0,0
87,297,0,0
87,298,0,0
88,299,0,0
13,300,0,0
13,301,0,0
89,302,0,0
7,303,0,0
90,304,0,0
90,305,0,0
90,306,0,0
90,307,0,0
7,308,0,0
7,309,0,0
91,310,0,0
91,311,0,0
91,312,0,0
92,313,0,0
92,314,0,0
92,315,0,0
7,316,0,0
7,317,0,0
93,318,0,0
7,319,0,0
94,320,0,0
95,321,0,0
95,322,0,0
69,323,0,0
69,324,0,0
69,325,0,0
96,326,0,0
97,327,0,0
98,328,0,0
98,329,0,0
99,330,0,0
99,331,0,0
99,332,0,0
99,333,0,0
99,334,0,0
7,335,0,0
100,336,0,0
100,337,0,0
101,338,0,0
101,339,0,0
101,340,0,0
101,341,0,0
101,342,0,0
7,343,0,0
102,344,0,0
103,345,0,0
103,346,0,0
104,347,0,0
104,348,0,0
104,349,0,0
104,350,0,0
104,351,0,0
104,352,0,0
104,353,0,0
105,354,0,0
105,355,0,0
105,356,0,0
35,357,0,0
7,358,0,0
7,359,0,0
106,360,0,0
106,361,0,0
107,362,0,0
108,363,0,0
108,364,0,0
108,365,0,0
108,366,0,0
108,367,0,0
13,368,0,0
13,369,0,0
13,370,0,0
13,371,0,0
109,372,0,0
110,373,0,0
111,374,0,0
111,375,0,0
112,376,0,0
112,377,0,0
112,378,0,0
112,379,0,0
112,380,0,0
113,381,0,0
113,382,0,0
114,383,0,0
114,384,0,0
114,385,0,0
114,386,0,0
114,387,0,0
115,388,0,0
13,389,0,0
116,390,0,0
13,391,0,0
117,392,0,0
117,393,0,0
117,394,0,0
117,395,0,0
117,396,0,0
118,397,0,0
119,398,0,0
120,399,0,0
121,400,0,0
121,401,0,0
121,402,0,0
121,403,0,0
122,404,0,0
122,405,0,0
123,406,0,0
123,407,0,0
123,408,0,0
124,409,0,0
7,410,0,0
13,411,0,0
13,412,0,0
13,413,0,0
13,414,0,0
125,415,0,0
7,416,0,0
126,417,0,0
126,418,0,0
126,419,0,0
126,420,0,0
126,421,0,0
126,422,0,0
126,423,0,0
127,424,0,0
127,425,0,0
128,426,0,0
129,427,0,0
129,428,0,0
129,429,0,0
129,430,0,0
7,431,0,0
130,432,0,0
130,433,0,0
131,434,0,0
132,435,0,0
132,436,0,0
133,437,0,0
134,438,0,0
135,439,0,0
136,440,0,0
136,441,0,0
137,442,0,0
137,443,0,0
137,444,0,0
138,445,0,0
138,446,0,0
138,447,0,0
139,448,0,0
139,449,0,0
139,450,0,0
139,451,0,0
140,452,0,0
140,453,0,0
140,454,0,0
141,455,0,0
13,456,0,0
13,457,0,0
13,458,0,0
13,459,0,0
7,460,0,0
13,461,0,0
142,462,0,0
143,463,0,0
143,464,0,0
143,465,0,0
144,466,0,0
145,467,0,0
145,468,0,0
145,469,0,0
145,470,0,0
7,471,0,0
146,472,0,0
146,473,0,0
7,474,0,0
7,475,0,0
7,476,0,0
7,477,0,0
7,478,0,0
7,479,0,0
7,480,0,0
7,481,0,0
147,482,0,0
148,483,0,0
148,484,0,0
148,485,0,0
13,486,0,0
13,487,0,0
149,488,0,0
149,489,0,0
149,490,0,0
13,491,0,0
13,492,0,0
13,493,0,0
13,494,0,0
13,495,0,0
13,496,0,0
13,497,0,0
13,498,0,0
13,499,0,0
13,500,0,0
13,501,0,0
150,502,0,0
150,503,0,0
13,504,0,0
13,505,0,0
151,506,0,0
152,507,0,0
153,508,0,0
154,509,0,0
154,510,0,0
154,511,0,0
155,512,0,0
156,513,0,0
156,514,0,0
156,515,0,0
156,516,0,0
157,517,0,0
157,518,0,0
157,519,0,0
157,520,0,0
158,521,0,0
158,522,0,0
158,523,0,0
158,524,0,0
159,525,0,0
159,526,0,0
159,527,0,0
159,528,0,0
7,529,0,0
13,530,0,0
13,531,0,0
13,532,0,0
13,533,0,0
160,534,0,0
161,535,0,0
70,536,0,0
162,537,0,0
7,538,0,0
163,539,0,0
163,540,0,0
163,541,0,0
163,542,0,0
13,543,0,0
13,544,0,0
164,545,0,0
164,546,0,0
164,547,0,0
164,548,0,0
165,549,0,0
165,550,0,0
165,551,0,0
165,552,0,0
165,553,0,0
13,554,0,0
166,555,0,0
166,556,0,0
167,557,0,0
168,558,0,0
168,559,0,0
168,560,0,0
168,561,0,0
168,562,0,0
13,563,0,0
13,564,0,0
13,565,0,0
13,566,0,0
13,567,0,0
13,568,0,0
13,569,0,0
13,570,0,0
13,571,0,0
169,572,0,0
13,573,0,0
13,574,0,0
13,575,0,0
13,576,0,0
170,577,0,0
171,578,0,0
171,579,0,0
171,580,0,0
171,581,0,0
171,582,0,0
172,583,0,0
7,584,0,0
173,585,0,0
13,586,0,0
13,587,0,0
13,588,0,0
13,589,0,0
174,590,0,0
175,591,0,0
175,592,0,0
175,593,0,0
7,594,0,0
7,595,0,0
7,596,0,0
176,597,0,0
176,598,0,0
176,599,0,0
176,600,0,0
176,601,0,0
7,602,0,0
177,603,0,0
177,604,0,0
177,605,0,0
177,606,0,0
177,607,0,0
178,608,0,0
178,609,0,0
178,610,0,0
179,611,0,0
179,612,0,0
179,613,0,0
179,614,0,0
179,615,0,0
180,616,0,0
180,617,0,0
180,618,0,0
181,619,0,0
7,620,0,0
182,621,0,0
182,622,0,0
13,623,0,0
13,624,0,0
13,625,0,0
13,626,0,0
7,627,0,0
7,628,0,0
134,629,0,0
7,630,0,0
7,631,0,0
183,632,0,0
183,633,0,0
183,634,0,0
183,635,0,0
184,636,0,0
184,637,0,0
184,638,0,0
13,639,0,0
185,640,0,0
13,641,0,0
13,642,0,0
13,643,0,0
13,644,0,0
13,645,0,0
13,646,0,0
13,647,0,0
13,648,0,0
13,649,0,0
186,650,0,0
187,651,0,0
187,652,0,0
187,653,0,0
187,654,0,0
13,655,0,0
188,656,0,0
189,657,0,0
190,658,0,0
190,659,0,0
190,660,0,0
190,661,0,0
190,662,0,0
191,663,0,0
191,664,0,0
191,665,0,0
191,666,0,0
191,667,0,0
111,668,0,0
7,669,0,0
192,670,0,0
193,671,0,0
193,672,0,0
193,673,0,0
7,674,0,0
194,675,0,0
194,676,0,0
194,677,0,0
194,678,0,0
194,679,0,0
195,680,0,0
7,681,0,0
196,682,0,0
196,683,0,0
