src_id,dst_id,label,feat
0,0,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
9,3,0,0
10,3,0,0
11,3,0,0
12,3,0,0
13,3,0,0
14,3,0,0
15,4,0,0
16,4,0,0
17,4,0,0
18,4,0,0
19,4,0,0
20,5,0,0
21,6,0,0
22,6,0,0
23,6,0,0
24,6,0,0
25,6,0,0
26,7,0,0
27,7,0,0
28,7,0,0
29,7,0,0
30,7,0,0
31,7,0,0
32,5,0,0
33,7,0,0
34,8,0,0
35,9,0,0
36,9,0,0
37,9,0,0
38,9,0,0
39,9,0,0
40,5,0,0
41,5,0,0
42,5,0,0
43,5,0,0
44,10,0,0
45,5,0,0
46,11,0,0
47,11,0,0
48,11,0,0
49,11,0,0
50,11,0,0
51,5,0,0
52,8,0,0
53,5,0,0
54,8,0,0
55,12,0,0
56,12,0,0
57,12,0,0
58,12,0,0
59,5,0,0
60,8,0,0
61,13,0,0
62,14,0,0
63,15,0,0
64,16,0,0
65,17,0,0
66,18,0,0
67,18,0,0
68,9,0,0
69,9,0,0
70,5,0,0
71,19,0,0
72,20,0,0
73,21,0,0
74,22,0,0
75,22,0,0
76,7,0,0
77,7,0,0
78,7,0,0
79,7,0,0
80,7,0,0
81,23,0,0
82,23,0,0
83,24,0,0
84,7,0,0
85,25,0,0
86,25,0,0
87,25,0,0
88,25,0,0
89,26,0,0
90,26,0,0
91,26,0,0
92,26,0,0
93,26,0,0
94,16,0,0
95,16,0,0
96,16,0,0
97,27,0,0
98,27,0,0
99,27,0,0
100,28,0,0
101,28,0,0
102,28,0,0
103,29,0,0
104,29,0,0
105,29,0,0
106,29,0,0
107,29,0,0
108,29,0,0
109,29,0,0
110,30,0,0
111,12,0,0
112,12,0,0
113,12,0,0
114,12,0,0
115,31,0,0
116,32,0,0
117,5,0,0
118,8,0,0
119,5,0,0
120,33,0,0
121,34,0,0
122,5,0,0
123,12,0,0
124,12,0,0
125,12,0,0
126,12,0,0
127,35,0,0
128,14,0,0
129,9,0,0
130,36,0,0
131,36,0,0
132,36,0,0
133,36,0,0
134,37,0,0
135,38,0,0
136,37,0,0
137,37,0,0
138,37,0,0
139,37,0,0
140,39,0,0
141,39,0,0
142,39,0,0
143,39,0,0
144,40,0,0
145,41,0,0
146,42,0,0
147,7,0,0
148,7,0,0
149,7,0,0
150,43,0,0
151,43,0,0
152,43,0,0
153,5,0,0
154,7,0,0
155,7,0,0
156,25,0,0
157,7,0,0
158,8,0,0
159,7,0,0
160,5,0,0
161,7,0,0
162,44,0,0
163,44,0,0
164,44,0,0
165,6,0,0
166,6,0,0
167,6,0,0
168,6,0,0
169,6,0,0
170,6,0,0
171,5,0,0
172,5,0,0
173,5,0,0
174,5,0,0
175,5,0,0
176,5,0,0
177,5,0,0
178,5,0,0
179,5,0,0
180,5,0,0
181,45,0,0
182,45,0,0
183,45,0,0
184,45,0,0
185,45,0,0
186,5,0,0
187,46,0,0
188,7,0,0
189,47,0,0
190,47,0,0
191,47,0,0
192,47,0,0
193,47,0,0
194,47,0,0
195,47,0,0
196,7,0,0
197,8,0,0
198,7,0,0
199,7,0,0
200,7,0,0
201,48,0,0
202,7,0,0
203,49,0,0
204,8,0,0
205,50,0,0
206,50,0,0
207,50,0,0
208,51,0,0
209,8,0,0
210,13,0,0
211,8,0,0
212,12,0,0
213,12,0,0
214,12,0,0
215,12,0,0
216,52,0,0
217,52,0,0
218,52,0,0
219,52,0,0
220,52,0,0
221,53,0,0
222,53,0,0
223,54,0,0
224,55,0,0
225,5,0,0
226,56,0,0
227,57,0,0
228,57,0,0
229,57,0,0
230,57,0,0
231,58,0,0
232,59,0,0
233,60,0,0
234,5,0,0
235,61,0,0
236,5,0,0
237,7,0,0
238,7,0,0
239,62,0,0
240,63,0,0
241,64,0,0
242,65,0,0
243,66,0,0
244,66,0,0
245,66,0,0
246,66,0,0
247,7,0,0
248,7,0,0
249,35,0,0
250,37,0,0
251,38,0,0
252,37,0,0
253,37,0,0
254,37,0,0
255,67,0,0
256,7,0,0
257,68,0,0
258,69,0,0
259,69,0,0
260,69,0,0
261,51,0,0
262,51,0,0
263,5,0,0
264,51,0,0
265,5,0,0
266,70,0,0
267,8,0,0
268,8,0,0
269,5,0,0
270,9,0,0
271,9,0,0
272,5,0,0
273,71,0,0
274,71,0,0
275,71,0,0
276,71,0,0
277,71,0,0
278,72,0,0
279,72,0,0
280,72,0,0
281,72,0,0
282,73,0,0
283,38,0,0
284,74,0,0
285,24,0,0
286,75,0,0
287,76,0,0
288,5,0,0
289,8,0,0
290,31,0,0
291,5,0,0
292,8,0,0
293,77,0,0
294,77,0,0
295,59,0,0
296,8,0,0
297,78,0,0
298,78,0,0
299,5,0,0
300,9,0,0
301,9,0,0
302,14,0,0
303,7,0,0
304,12,0,0
305,12,0,0
306,12,0,0
307,12,0,0
308,7,0,0
309,7,0,0
310,79,0,0
311,80,0,0
312,80,0,0
313,81,0,0
314,81,0,0
315,38,0,0
316,7,0,0
317,7,0,0
318,38,0,0
319,7,0,0
320,7,0,0
321,82,0,0
322,82,0,0
323,83,0,0
324,83,0,0
325,83,0,0
326,84,0,0
327,85,0,0
328,76,0,0
329,76,0,0
330,86,0,0
331,86,0,0
332,86,0,0
333,86,0,0
334,86,0,0
335,7,0,0
336,87,0,0
337,87,0,0
338,38,0,0
339,38,0,0
340,38,0,0
341,38,0,0
342,38,0,0
343,7,0,0
344,8,0,0
345,5,0,0
346,5,0,0
347,25,0,0
348,88,0,0
349,25,0,0
350,88,0,0
351,88,0,0
352,25,0,0
353,88,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,35,0,0
358,7,0,0
359,7,0,0
360,37,0,0
361,37,0,0
362,73,0,0
363,89,0,0
364,89,0,0
365,89,0,0
366,89,0,0
367,89,0,0
368,56,0,0
369,30,0,0
370,9,0,0
371,9,0,0
372,5,0,0
373,8,0,0
374,64,0,0
375,64,0,0
376,90,0,0
377,90,0,0
378,90,0,0
379,90,0,0
380,90,0,0
381,5,0,0
382,5,0,0
383,5,0,0
384,5,0,0
385,5,0,0
386,5,0,0
387,5,0,0
388,8,0,0
389,8,0,0
390,8,0,0
391,5,0,0
392,38,0,0
393,5,0,0
394,38,0,0
395,38,0,0
396,38,0,0
397,31,0,0
398,59,0,0
399,91,0,0
400,12,0,0
401,12,0,0
402,12,0,0
403,12,0,0
404,92,0,0
405,92,0,0
406,93,0,0
407,94,0,0
408,93,0,0
409,8,0,0
410,7,0,0
411,12,0,0
412,12,0,0
413,12,0,0
414,12,0,0
415,73,0,0
416,7,0,0
417,38,0,0
418,60,0,0
419,60,0,0
420,60,0,0
421,60,0,0
422,60,0,0
423,60,0,0
424,5,0,0
425,5,0,0
426,8,0,0
427,36,0,0
428,36,0,0
429,36,0,0
430,36,0,0
431,7,0,0
432,95,0,0
433,95,0,0
434,8,0,0
435,96,0,0
436,96,0,0
437,97,0,0
438,98,0,0
439,8,0,0
440,5,0,0
441,5,0,0
442,5,0,0
443,5,0,0
444,5,0,0
445,97,0,0
446,97,0,0
447,97,0,0
448,81,0,0
449,81,0,0
450,81,0,0
451,81,0,0
452,99,0,0
453,99,0,0
454,99,0,0
455,91,0,0
456,12,0,0
457,12,0,0
458,12,0,0
459,12,0,0
460,7,0,0
461,8,0,0
462,100,0,0
463,5,0,0
464,5,0,0
465,5,0,0
466,68,0,0
467,101,0,0
468,101,0,0
469,25,0,0
470,101,0,0
471,7,0,0
472,102,0,0
473,102,0,0
474,7,0,0
475,7,0,0
476,7,0,0
477,7,0,0
478,7,0,0
479,7,0,0
480,7,0,0
481,7,0,0
482,45,0,0
483,103,0,0
484,103,0,0
485,103,0,0
486,8,0,0
487,15,0,0
488,34,0,0
489,34,0,0
490,34,0,0
491,5,0,0
492,70,0,0
493,91,0,0
494,5,0,0
495,8,0,0
496,104,0,0
497,105,0,0
498,5,0,0
499,5,0,0
500,8,0,0
501,55,0,0
502,106,0,0
503,106,0,0
504,8,0,0
505,8,0,0
506,8,0,0
507,107,0,0
508,108,0,0
509,82,0,0
510,82,0,0
511,82,0,0
512,109,0,0
513,110,0,0
514,110,0,0
515,110,0,0
516,110,0,0
517,12,0,0
518,12,0,0
519,12,0,0
520,12,0,0
521,109,0,0
522,109,0,0
523,109,0,0
524,109,0,0
525,25,0,0
526,111,0,0
527,111,0,0
528,111,0,0
529,7,0,0
530,12,0,0
531,12,0,0
532,12,0,0
533,12,0,0
534,5,0,0
535,8,0,0
536,64,0,0
537,15,0,0
538,7,0,0
539,38,0,0
540,38,0,0
541,38,0,0
542,38,0,0
543,19,0,0
544,8,0,0
545,112,0,0
546,112,0,0
547,112,0,0
548,112,0,0
549,113,0,0
550,25,0,0
551,113,0,0
552,113,0,0
553,113,0,0
554,5,0,0
555,14,0,0
556,14,0,0
557,8,0,0
558,16,0,0
559,16,0,0
560,16,0,0
561,16,0,0
562,16,0,0
563,114,0,0
564,5,0,0
565,5,0,0
566,115,0,0
567,8,0,0
568,9,0,0
569,9,0,0
570,105,0,0
571,105,0,0
572,116,0,0
573,8,0,0
574,5,0,0
575,5,0,0
576,5,0,0
577,8,0,0
578,38,0,0
579,117,0,0
580,117,0,0
581,117,0,0
582,117,0,0
583,118,0,0
584,7,0,0
585,83,0,0
586,12,0,0
587,12,0,0
588,12,0,0
589,12,0,0
590,10,0,0
591,119,0,0
592,119,0,0
593,119,0,0
594,7,0,0
595,7,0,0
596,7,0,0
597,120,0,0
598,120,0,0
599,120,0,0
600,120,0,0
601,120,0,0
602,7,0,0
603,121,0,0
604,121,0,0
605,121,0,0
606,121,0,0
607,121,0,0
608,122,0,0
609,122,0,0
610,122,0,0
611,123,0,0
612,123,0,0
613,123,0,0
614,123,0,0
615,123,0,0
616,124,0,0
617,124,0,0
618,124,0,0
619,5,0,0
620,7,0,0
621,5,0,0
622,5,0,0
623,12,0,0
624,12,0,0
625,12,0,0
626,12,0,0
627,7,0,0
628,7,0,0
629,125,0,0
630,7,0,0
631,7,0,0
632,5,0,0
633,5,0,0
634,5,0,0
635,5,0,0
636,126,0,0
637,126,0,0
638,126,0,0
639,126,0,0
640,127,0,0
641,8,0,0
642,5,0,0
643,8,0,0
644,128,0,0
645,128,0,0
646,129,0,0
647,130,0,0
648,126,0,0
649,8,0,0
650,131,0,0
651,132,0,0
652,132,0,0
653,132,0,0
654,132,0,0
655,8,0,0
656,133,0,0
657,134,0,0
658,16,0,0
659,16,0,0
660,16,0,0
661,16,0,0
662,16,0,0
663,135,0,0
664,135,0,0
665,135,0,0
666,135,0,0
667,135,0,0
668,64,0,0
669,7,0,0
670,8,0,0
671,16,0,0
672,16,0,0
673,16,0,0
674,7,0,0
675,104,0,0
676,104,0,0
677,104,0,0
678,104,0,0
679,104,0,0
680,136,0,0
681,7,0,0
682,0,0,0
683,0,0,0
